"time","dx","rho_1","rho_2","x","der(dx)","der(rho_1)","der(rho_2)","der(x)","dm_1","dm_2","drho_1","drho_2"
0.00358,3.352779170514856,1004.125866136145,1001.371218602136,0.001033445550338277,5475.767276313069,-3329.344478887598,3327.044223608737,3.352779170514856,33.82711343160735,33.77065912224946,-3329.344478887598,3327.044223608737
0.0036,3.45959189145828,1004.058214829221,1001.438832325984,0.001101578768512239,5204.169087559486,-3434.736323223584,3433.295093645158,3.45959189145828,35.11170274256279,35.0566154424598,-3434.736323223584,3433.295093645158
0.00362,3.560889665623093,1003.988511145253,1001.508516493934,0.001171793458449692,4924.380405981493,-3534.562676071336,3534.068168142765,3.560889665623093,36.38786024780944,36.33435623514491,-3534.562676071336,3534.068168142765
0.00364,3.656513489416483,1003.916868209608,1001.580159699106,0.001243977578865215,4636.85188611036,-3628.667113444135,3629.203232277156,3.656513489416483,37.65447688675619,37.60277984463782,-3628.667113444135,3629.203232277156
0.00366,3.746313460862203,1003.843402094546,1001.65364750621,0.001318016024687564,4342.046042062869,-3716.902580769271,3718.548778415567,3.746313460862203,38.91053193158057,38.86087123720768,-3716.902580769271,3718.548778415567
0.00368,3.830148023778464,1003.768231205555,1001.728863045224,0.001393791160942072,4040.434840425427,-3799.130625883346,3801.961269649898,3.830148023778464,40.15508651459532,40.10769551649501,-3799.130625883346,3801.961269649898
0.0037,3.907886333018832,1003.691477022906,1001.805686265824,0.001471182204549882,3732.502650832602,-3875.223788363146,3879.307546433461,3.907886333018832,41.38725698606459,41.34237149359545,-3875.223788363146,3879.307546433461
0.00372,3.979407001742473,1003.613263356035,1001.883994668467,0.001550065967471075,3418.743305118196,-3945.064321463919,3950.463589839271,3.979407001742473,42.60621583251294,42.56407264448855,-3945.064321463919,3950.463589839271
0.00374,4.044598246917663,1003.53371644263,1001.9636632102,0.001630317072117772,3099.660482392042,-4008.544332097198,4015.314696168981,4.044598246917663,43.81117989047279,43.77201562528177,-4008.544332097198,4015.314696168981
0.00376,4.103359066293832,1003.452964448019,1002.044564755059,0.001711807786130195,2775.765795257211,-4065.566940865352,4073.756679383268,4.103359066293832,45.00140925744327,44.9654586374301,-4065.566940865352,4073.756679383268
0.00378,4.155598382204878,1003.371137359635,1002.126570205095,0.001794408570559317,2447.578325256915,-4116.045407162273,4125.695040869333,4.155598382204878,46.17620084506941,46.14369558033359,-4116.045407162273,4125.695040869333
0.0038,4.201235132600402,1003.288366648777,1002.209548827987,0.001877988289095938,2115.623290254779,-4159.90319841416,4171.045086722996,4.201235132600402,47.3348861895612,47.30605386689687,-4159.90319841416,4171.045086722996
0.00382,4.240199619695805,1003.20478547087,1002.293368012886,0.001962414082021978,1780.432919771357,-4197.075327724204,4209.733312911404,4.240199619695805,48.47682237995858,48.45188489527732,-4197.075327724204,4209.733312911404
0.00384,4.272432388651241,1003.120528097441,1002.37789388621,0.00204755191582395,1442.54409857641,-4227.507199058572,4241.696305656038,4.272432388651241,49.60139444128277,49.58056724841073,-4227.507199058572,4241.696305656038
0.00386,4.297884790198303,1003.035729818315,1002.462991379117,0.00213326668006158,1102.498030492237,-4251.155148197636,4266.881336738062,4.297884790198303,50.70801138453153,50.69150243037866,-4251.155148197636,4266.881336738062
0.00388,4.316519500736909,1002.950526791113,1002.548524337764,0.002219422301689588,760.8397116904863,-4267.986938283067,4285.246916567049,4.316519500736909,51.79610349098181,51.78411174679613,-4267.986938283067,4285.246916567049
0.0039,4.328309303577654,1002.865055464473,1002.634356172884,0.002305882196348927,418.1154901410112,-4277.980505453393,4296.761597685859,4.328309303577654,52.86512526255141,52.8578402938864,-4277.980505453393,4296.761597685859
0.00392,4.333238346888494,1002.779452713686,1002.720349657703,0.002392509295706171,74.87372849728898,-4281.125196711245,4301.405272259984,4.333238346888494,53.91454943034292,53.91215018069528,-4281.125196711245,4301.405272259984
0.00394,4.331302135261791,1002.693855585159,1002.806367182669,0.00247916627724631,-268.336216372803,-4277.42173162836,4299.169194692683,4.331302135261791,54.94386637090113,54.94652002738793,-4277.42173162836,4299.169194692683
0.00396,4.322506316830931,1002.60840098126,1002.892271158842,0.002565715917579493,-610.9654183316326,-4266.880957826752,4290.05479275887,4.322506316830931,55.95258433059089,55.96044629521336,-4266.880957826752,4290.05479275887
0.00398,4.306868317953152,1002.523225460517,1002.97792409304,0.002652021158271711,-952.4659482264229,-4249.525457970741,4274.075342377227,4.306868317953152,56.94022835021007,56.95344074554129,-4249.525457970741,4274.075342377227
0.004,4.284416498681178,1002.438465025149,1003.063188867111,0.002737945400052209,-1292.29184890992,-4225.388675483608,4251.255149569898,4.284416498681178,57.90633949530442,57.92503051331921,-4225.388675483608,4251.255149569898
0.00402,4.255189023278611,1002.354254837594,1003.147929079567,0.002823352758306117,-1629.90037417812,-4194.513755636199,4221.628443946741,4.255189023278611,58.85047500361426,58.87475890906183,-4194.513755636199,4221.628443946741
0.00404,4.219236099326797,1002.270729103062,1003.232009042366,0.002908108197445346,-1964.752239602304,-4156.955757761406,4185.241661718251,4.219236099326797,59.7722066532567,59.80218241818078,-4156.955757761406,4185.241661718251
0.00406,4.17661835270766,1002.188020816261,1003.315294126824,0.002992077797119909,-2296.312804653642,-4112.78000207825,4142.151839767427,4.17661835270766,60.67112079805356,60.70687178701724,-4112.78000207825,4142.151839767427
0.00408,4.12740646987218,1002.106261689428,1003.397650872605,0.003075128934794758,-2624.052431053609,-4062.061688042228,4092.426284007232,4.12740646987218,61.54681652232005,61.58841053837011,-4062.061688042228,4092.426284007232
0.004099999999999999,4.071682542320774,1002.025581664415,1003.478947369543,0.003157130553503974,-2947.448235677886,-4004.887207691852,4036.14394845073,4.071682542320774,62.39890836322591,62.44639651825826,-4004.887207691852,4036.14394845073
0.00412,4.009538642656425,1001.946108915293,1003.559053358897,0.003237953312979779,-3265.984273633358,-3941.352701729951,3973.394028526611,4.009538642656425,63.22702378697188,63.28044046202824,-3941.352701729951,3973.394028526611
0.00414,3.941076581832798,1001.867969617825,1003.637840474159,0.003317469783033672,-3579.152478486147,-3871.563793948513,3904.275740378429,3.941076581832798,64.03080330116045,64.09016614885869,-3871.563793948513,3904.275740378429
0.004160000000000001,3.866409144273255,1001.791287649953,1003.715182471109,0.003395554759936477,-3886.453733755324,-3795.636801308484,3828.899587486487,3.866409144273255,64.80990130689879,64.87521048531589,-3795.636801308484,3828.899587486487
0.00418,3.785658479298045,1001.716184564982,1003.790955354817,0.003472085321589395,-4187.398164464204,-3713.697110499018,3747.385762073318,3.785658479298045,65.56398422329737,65.63522260715874,-3713.697110499018,3747.385762073318
0.004200000000000001,3.69895635406744,1001.642779341001,1003.865037615736,0.003546941076872857,-4481.506113011921,-3625.879411519398,3659.864418787075,3.69895635406744,66.29273100526127,66.36986417058343,-3625.879411519398,3659.864418787075
0.00422,3.606444604128393,1001.571188039888,1003.937310538672,0.003620004469761635,-4768.309443609898,-3532.328128579572,3566.476145677133,3.606444604128393,66.99583456322257,67.07881038688191,-3532.328128579572,3566.476145677133
0.00424,3.508273580846954,1001.50152387816,1004.007658222118,0.003691160731226347,-5047.351423724063,-3433.195860486766,3467.370415576353,3.508273580846954,67.67299917011061,67.76174825091327,-3433.195860486766,3467.370415576353
0.00426,3.404602920210184,1001.433896867731,1004.075967900974,0.003760298256544932,-5318.188095688413,-3328.644132742247,3362.706373506669,3.404602920210184,68.32394220208492,68.41837783542393,-3328.644132742247,3362.706373506669
0.00428,3.295601407883913,1001.368413614284,1004.142130157866,0.003827308813409174,-5580.389101241811,-3218.843252229206,3252.652711742946,3.295601407883913,68.94839434027129,69.04841251148089,-3218.843252229206,3252.652711742946
0.0043,3.181445530951357,1001.305177494246,1004.206038816598,0.003892087408514733,-5833.537100013627,-3103.970859895141,3137.386219515899,3.181445530951357,69.54609626218931,69.65157623215744,-3103.970859895141,3137.386219515899
0.00432,3.062320613642231,1001.244288020301,1004.26759152797,0.003954532861673264,-6077.230221474817,-2984.213050785559,3017.092932831537,3.062320613642231,70.11680313498168,70.22760746700585,-2984.213050785559,3017.092932831537
0.00434,2.938419922897078,1001.185840894484,1004.326689760173,0.00401454779452716,-6311.081930608352,-2859.763481648781,2891.96723748641,2.938419922897078,70.6602825799111,70.77625749725222,-2859.763481648781,2891.96723748641
0.00436,2.809943452540513,1001.129928143346,1004.383238701023,0.004072038489229332,-6534.720549880706,-2730.822161733732,2762.210645442904,2.809943452540513,71.17631204519593,71.297288050074,-2730.822161733732,2762.210645442904
0.00438,2.677099374665226,1001.076637400364,1004.437147948072,0.004126915629256624,-6747.792089163852,-2597.596892623453,2628.033255901604,2.677099374665226,71.66468413835175,71.79047627868977,-2597.596892623453,2628.033255901604
0.0044,2.540102555132774,1001.02605215479,1004.488331302553,0.004179094051275611,-6949.959321077241,-2460.301797194294,2489.652256392486,2.540102555132774,72.12520303356476,72.2556114846208,-2460.301797194294,2489.652256392486
0.00442,2.3991739440293,1000.978251815347,1004.536706720886,0.004228492719105991,-7140.901550518423,-2319.156720230477,2347.291303312365,2.3991739440293,72.55768275894189,72.69249345906481,-2319.156720230477,2347.291303312365
0.00444,2.254541391294842,1000.93331096908,1004.582197059926,0.004275035418069933,-7320.317595603964,-2174.388040796644,2201.181334344497,2.254541391294842,72.96195282190612,73.10093805093524,-2174.388040796644,2201.181334344497
0.00446,2.106438326055967,1000.891299764273,1004.624729714464,0.004318650410255412,-7487.924283642238,-2026.227372683356,2051.559228326807,2.106438326055967,73.33785368177138,73.4807727504339,-2026.227372683356,2051.559228326807
0.00448,1.955103288253357,1000.852283841019,1004.664236696339,0.004359270493382493,-7643.456743521143,-1874.911110060059,1898.667320781765,1.955103288253357,73.6852364535991,73.83183640202857,-1874.911110060059,1898.667320781765
0.0045,1.800780511028581,1000.816323731623,1004.700655260376,0.004396833634777413,-7786.670862616334,-1720.681015363606,1742.753974889319,1.800780511028581,74.00396736849943,74.15398381514737,-1720.681015363606,1742.753974889319
0.004520000000000001,1.643718603123254,1000.783475302062,1004.733927456883,0.004431282518251874,-7917.341495673334,-1563.782929079865,1584.072238477,1.643718603123254,74.29392301650302,74.44708089097996,-1563.782929079865,1584.072238477
0.00454,1.48417037746439,1000.753789534545,1004.764000366449,0.004462564773672361,-8035.263367582482,-1404.466614762754,1422.8796523801,1.48417037746439,74.554991558811,74.71100592029012,-1404.466614762754,1422.8796523801
0.004560000000000001,1.322392909431048,1000.727312085779,1004.790826575347,0.004490633423709727,-8140.252908229132,-1242.985832114935,1259.438287171826,1.322392909431048,74.78707593839792,74.94565302024768,-1242.985832114935,1259.438287171826
0.00458,1.158646380652528,1000.704083799766,1004.81436362995,0.004515446354610601,-8232.146124174351,-1079.597212727605,1094.013558488864,1.158646380652528,74.99008877253938,75.15092669322432,-1079.597212727605,1094.013558488864
0.004600000000000001,0.9931941226845585,1000.684140268808,1004.834574517194,0.004536966782174953,-8310.800437998119,-914.5603212918394,926.874245877499,0.9931941226845585,75.16395568879489,75.32674546801634,-914.5603212918394,926.874245877499
0.00462,0.8263023238796691,1000.667511662634,1004.851427855107,0.0045551634349681,-8376.095408185067,-748.1373859058173,758.2921717200679,0.8263023238796691,75.30861634729197,75.47304304405228,-748.1373859058173,758.2921717200679
0.00464,0.6582390516727881,1000.654223285008,1004.864897279548,0.004570009975119233,-8427.930379596279,-580.5923549185587,588.541193623994,0.6582390516727881,75.42401921547976,75.58976254619972,-580.5923549185587,588.541193623994
0.00466,0.4892743816617633,1000.644294836038,1004.874962266241,0.004581485763426037,-8466.227604221196,-412.1910435428655,417.8973030333383,0.4892743816617633,75.51012767860492,75.67686332128564,-412.1910435428655,417.8973030333383
0.00468,0.3196797758176191,1000.63774062125,1004.881607899955,0.004589575646544564,-8490.931355167289,-243.2005433324944,246.6379721075298,0.3196797758176191,75.56691797305045,75.73431865947417,-243.2005433324944,246.6379721075298
